Username,Email,Role,Password
snigdha,snigdha@test.com,admin,admin123
stud_class_10_a_1,student_class_10_a_1@school.com,student,student123
stud_class_10_a_10,student_class_10_a_10@school.com,student,student123
stud_class_10_a_11,student_class_10_a_11@school.com,student,student123
stud_class_10_a_12,student_class_10_a_12@school.com,student,student123
stud_class_10_a_13,student_class_10_a_13@school.com,student,student123
stud_class_10_a_14,student_class_10_a_14@school.com,student,student123
stud_class_10_a_15,student_class_10_a_15@school.com,student,student123
stud_class_10_a_16,student_class_10_a_16@school.com,student,student123
stud_class_10_a_17,student_class_10_a_17@school.com,student,student123
stud_class_10_a_18,student_class_10_a_18@school.com,student,student123
stud_class_10_a_19,student_class_10_a_19@school.com,student,student123
stud_class_10_a_2,student_class_10_a_2@school.com,student,student123
stud_class_10_a_20,student_class_10_a_20@school.com,student,student123
stud_class_10_a_3,student_class_10_a_3@school.com,student,student123
stud_class_10_a_4,student_class_10_a_4@school.com,student,student123
stud_class_10_a_5,student_class_10_a_5@school.com,student,student123
stud_class_10_a_6,student_class_10_a_6@school.com,student,student123
stud_class_10_a_7,student_class_10_a_7@school.com,student,student123
stud_class_10_a_8,student_class_10_a_8@school.com,student,student123
stud_class_10_a_9,student_class_10_a_9@school.com,student,student123
stud_class_10_b_1,student_class_10_b_1@school.com,student,student123
stud_class_10_b_10,student_class_10_b_10@school.com,student,student123
stud_class_10_b_11,student_class_10_b_11@school.com,student,student123
stud_class_10_b_12,student_class_10_b_12@school.com,student,student123
stud_class_10_b_13,student_class_10_b_13@school.com,student,student123
stud_class_10_b_14,student_class_10_b_14@school.com,student,student123
stud_class_10_b_15,student_class_10_b_15@school.com,student,student123
stud_class_10_b_16,student_class_10_b_16@school.com,student,student123
stud_class_10_b_17,student_class_10_b_17@school.com,student,student123
stud_class_10_b_18,student_class_10_b_18@school.com,student,student123
stud_class_10_b_19,student_class_10_b_19@school.com,student,student123
stud_class_10_b_2,student_class_10_b_2@school.com,student,student123
stud_class_10_b_20,student_class_10_b_20@school.com,student,student123
stud_class_10_b_3,student_class_10_b_3@school.com,student,student123
stud_class_10_b_4,student_class_10_b_4@school.com,student,student123
stud_class_10_b_5,student_class_10_b_5@school.com,student,student123
stud_class_10_b_6,student_class_10_b_6@school.com,student,student123
stud_class_10_b_7,student_class_10_b_7@school.com,student,student123
stud_class_10_b_8,student_class_10_b_8@school.com,student,student123
stud_class_10_b_9,student_class_10_b_9@school.com,student,student123
stud_class_10_c_1,student_class_10_c_1@school.com,student,student123
stud_class_10_c_10,student_class_10_c_10@school.com,student,student123
stud_class_10_c_11,student_class_10_c_11@school.com,student,student123
stud_class_10_c_12,student_class_10_c_12@school.com,student,student123
stud_class_10_c_13,student_class_10_c_13@school.com,student,student123
stud_class_10_c_14,student_class_10_c_14@school.com,student,student123
stud_class_10_c_15,student_class_10_c_15@school.com,student,student123
